Summary,Issue Type,Description,Epic Name,Sprint,Priority,Story Points,Component,Labels,Layer,Acceptance Criteria
Email provider abstraction (SendGrid/Resend/SMTP),Task,Pluggable backend with Django HTML templates.,Email Notifications,Sprint 3,High,5,Backend,"email,integrations",Backend,Test email sends via configured provider.
Email trigger: order confirmation,Task,Send on order complete with line items summary.,Email Notifications,Sprint 3,High,3,Backend,"email,orders",Backend,Customer receives confirmation after purchase.
Email trigger: payment receipt,Task,Send when financial_status becomes paid.,Email Notifications,Sprint 3,Medium,2,Backend,"email,payments",Backend,Receipt email sent for card payments.
Email trigger: shipped with tracking link,Task,Send when fulfillment ships.,Email Notifications,Sprint 3,High,3,Backend,"email,shipping",Backend,Email contains working track URL.
Email trigger: password reset,Task,Wire auth reset flow to email provider.,Email Notifications,Sprint 3,Medium,2,Backend,"email,auth",Backend,Reset link delivered via email.
POST /orders/{id}/resend-confirmation/ admin endpoint,Task,Staff can resend order confirmation email.,Email Notifications,Sprint 3,Low,2,Backend,"email,admin",Backend,Resend rate-limited and logged.
PDF invoice generator,Story,"WeasyPrint/reportlab: lines, tax, shipping, company header.",Invoice Generation,Sprint 3,High,8,Backend,"invoice,pdf",Backend,PDF matches order totals.
GET /orders/{id}/invoice.pdf endpoint,Task,Auth: customer owns order or staff.,Invoice Generation,Sprint 3,High,3,Backend,"invoice,api",Backend,Authorized download; others 403.
Store invoice PDF in Cloudinary/S3,Task,Persist PDF; attach URL to confirmation email.,Invoice Generation,Sprint 3,Medium,3,Backend,"invoice,storage",Backend,PDF URL stored on order record.
Admin invoice download on order detail,Task,Download button in admin order view.,Invoice Generation,Sprint 3,Medium,2,Admin,"admin,invoice",Admin,Staff downloads invoice from order.
Storefront invoice download on order detail,Task,Customer download link on OrderDetail page.,Invoice Generation,Sprint 3,Medium,2,Storefront,"invoice,orders",Storefront,Customer downloads own invoice PDF.
Celery import job: products variants collections inventory,Story,"CSV/XLSX validate, preview, commit; error report.",Import Export,Sprint 3,High,13,Backend,"import,celery",Backend,100+ rows import async without blocking.
Celery export job with catalog filters,Task,Export matches list API filters.,Import Export,Sprint 3,Medium,5,Backend,"export,celery",Backend,Filtered XLSX/CSV download.
POST /admin/import/{entity}/ and GET /admin/export/{entity}/,Task,Admin APIs for import/export jobs.,Import Export,Sprint 3,High,5,Backend,"import-export,api",Backend,Job status polling endpoint documented.
Admin import wizard UI,Story,"Upload, preview, run, download errors.",Import Export,Sprint 3,High,8,Admin,"admin,import",Admin,Staff completes import with progress feedback.
Admin export with filters UI,Task,Export from catalog admin views.,Import Export,Sprint 3,Medium,3,Admin,"admin,export",Admin,Export respects current filters.
Admin email template editor,Story,Edit subject/body with variable documentation.,Email Notifications,Sprint 3,Medium,5,Admin,"admin,email",Admin,Templates saved and used by triggers.
StoreLocation model and migrations,Task,"Fields: name, lat, lng, address, hours, phone, is_pickup_enabled.",Store Locator,Sprint 4,High,3,Backend,"stores,models",Backend,CRUD via admin API.
GET /stores/ with geo query,Task,?lat=&lng=&radius_km= returns nearest stores.,Store Locator,Sprint 4,High,5,Backend,"stores,api",Backend,Geo search returns sorted results.
Admin store CRUD with map pin picker,Story,Manage locations on interactive map.,Store Locator,Sprint 4,High,8,Admin,"admin,stores",Admin,Staff adds/edits stores with map UI.
Storefront store locator page,Story,Map/list; find nearest store by location.,Store Locator,Sprint 4,High,8,Storefront,"stores,locator",Storefront,Customers find stores on /stores page.
PDP optional pick up at store,Task,Pickup store selection when API supports.,Store Locator,Sprint 4,Low,5,Storefront,"stores,pickup",Storefront,Pickup store selectable at checkout when enabled.
Catalog embeddings index for AI search,Task,Sync products/collections to embeddings table.,AI Assistant,Sprint 4,High,8,Backend,"ai,search",Backend,Index refreshes on catalog changes.
POST /assistant/chat with tool calling,Story,"Tools: search_products, search_collections, get_product.",AI Assistant,Sprint 4,High,13,Backend,"ai,api",Backend,Natural language returns relevant products.
AI rate limits and prompt guardrails,Task,Token caps; no PII in logs.,AI Assistant,Sprint 4,Medium,3,Backend,"ai,security",Backend,Abuse limited; logs sanitized.
Admin AI prompt and logs config,Task,Configure system prompt; view sanitized logs.,AI Assistant,Sprint 4,Medium,5,Admin,"admin,ai",Admin,Staff adjusts assistant from admin.
Storefront AI chat widget,Story,"Floating widget on home, PLP, PDP.",AI Assistant,Sprint 4,High,8,Storefront,"ai,chat",Storefront,Users search products via chat.
POS models: Register PosSession PosSale,Task,Link PosSale to Order; session open/close.,POS Module,Sprint 4,High,5,Backend,"pos,models",Backend,Models migrated and in admin API.
POS APIs: sessions and sales,Story,"Open/close session, cart, cash/card split, receipt payload.",POS Module,Sprint 4,High,13,Backend,"pos,api",Backend,Complete sale creates order.
Inventory decrement on POS/order complete,Task,Stock decreases on successful sale.,POS Module,Sprint 4,Medium,5,Backend,"pos,inventory",Backend,Inventory accurate after POS sale.
Admin POS UI: barcode scan and quick search,Story,In-store POS screen for cashiers.,POS Module,Sprint 4,High,13,Admin,"pos,ui",Admin,Cashier completes sale from POS UI.
Unified admin tracking dashboard,Story,Orders to fulfillments to carrier timeline; filters; CSV export.,Tracking Module,Sprint 4,High,13,Admin,"admin,tracking",Admin,Delayed/exception orders visible; CSV export works.
OpenAPI: document Sprint 4 endpoints,Task,"stores, assistant, pos in schema.",Platform Foundation,Sprint 4,Low,2,Backend,"docs,api",Backend,Swagger complete for Sprint 4.
